Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,133,W,DEC,7 - 2,Connor McGonagle,56713,19 - 4,Virginia Tech,Zeth Romney,73191
2025,03/20,NCAA Championships,133,L,DEC,2 - 0,Lucas Byrd,56714,23 - 1,Illinois,Zeth Romney,73191
2025,03/20,NCAA Championships,133,W,DEC,8 - 2,Angelo Rini,56766,21 - 11,Indiana,Zeth Romney,73191
2025,03/20,NCAA Championships,133,W,DEC,4 - 2,Tyler Knox,83265,28 - 9,Stanford,Zeth Romney,73191
2025,03/20,NCAA Championships,133,W,DEC,7 - 3,Tyler Ferrera,78735,13 - 7,Cornell,Zeth Romney,73191
2025,03/06,PAC 12 Championships,133,L,SV-1,4 - 1,Nasir Bailey,79029,21 - 5,Little Rock,Zeth Romney,73191
2025,03/06,PAC 12 Championships,133,W,MD,15 - 7,Damion Elliott,76356,6 - 10,Oregon State,Zeth Romney,73191
2025,02/14,Little Rock - Cal Poly Dual,133,L,DEC,8 - 2,Nasir Bailey,79029,21 - 5,Little Rock,Zeth Romney,73191
2025,02/14,Northern Illinois - Cal Poly Dual,133,L,DEC,7 - 6,Markel Baker,78892,17 - 7,Northern Illinois,Zeth Romney,73191
2025,02/02,Southern Illinois Edwardsville - Cal Poly Dual,133,W,DEC,8 - 2,Marcel Lopez,78290,14 - 16,SIU Edwardsville,Zeth Romney,73191
2025,01/10,Cal Poly - Little Rock Dual,133,W,FALL,4:14,Nasir Bailey,79029,21 - 5,Little Rock,Zeth Romney,73191
2025,01/10,Cal Poly - George Mason Dual,133,W,TF5,22 - 7 7:00,Geoff Whelan,93650,4 - 19,George Mason,Zeth Romney,73191
2025,12/06,Cliff Keen Invitational,133,W,DEC,5 - 2,Jacob Van Dee,73557,18 - 11,Nebraska,Zeth Romney,73191
2025,12/06,Cliff Keen Invitational,133,W,DEC,6 - 5,Nic Bouzakis,73468,24 - 9,Ohio State,Zeth Romney,73191
2025,12/06,Cliff Keen Invitational,133,W,DEC,7 - 3,Evan Frost,72948,22 - 6,Iowa State,Zeth Romney,73191
2025,12/06,Cliff Keen Invitational,133,W,FALL,2:09,Derrick Cardinal,68734,19 - 16,South Dakota State,Zeth Romney,73191
2025,12/06,Cliff Keen Invitational,133,W,TF5,19 - 2 5:59,Chase DeBlaere,72993,5 - 4,Oregon State,Zeth Romney,73191
2025,11/16,Stanford - Cal Poly Dual,133,L,DEC,5 - 3,Tyler Knox,83265,28 - 9,Stanford,Zeth Romney,73191
2025,11/09,Tiger Style Invite,133,W,DEC,10 - 3,Braxton Brown,72103,24 - 6,Maryland,Zeth Romney,73191
2025,11/09,Tiger Style Invite,133,W,FALL,1:25,Jake Crapps,84932,8 - 7,Missouri,Zeth Romney,73191
2025,11/09,Tiger Style Invite,133,W,DEC,10 - 4,Kade Moore,73859,14 - 19,Missouri,Zeth Romney,73191
2025,11/03,Indiana - Cal Poly Dual,133,W,DEC,7 - 3,Angelo Rini,56766,21 - 11,Indiana,Zeth Romney,73191
2024,03/21,NCAA Championships,133,L,SV-1,2 - 1,Gable Strickland,71822,32 - 13,Lock Haven,Zeth Romney,73191
2024,03/21,NCAA Championships,133,L,DEC,4 - 1,Domenic Zaccone,56926,25 - 10,Campbell,Zeth Romney,73191
2024,03/10,PAC 12 Championships,133,W,DEC,4 - 2,Gabe Whisenhunt,67729,10 - 11,Oregon State,Zeth Romney,73191
